query,target,window,pred,gt,signed_score_pct,direction
Spike Count (Window),spiking,0,20,0,+100.0,over
Spike Count (Window),spiking,1,20,0,+100.0,over
Spike Count (Window),spiking,2,20,9,+37.9,over
Spike Count (Window),spiking,3,20,11,+29.0,over
Spike Count (Window),spiking,4,20,0,+100.0,over
Spike Count (Window),spiking,5,20,0,+100.0,over
Spike Count (Window),spiking,6,20,0,+100.0,over
Spike Count (Window),spiking,7,20,0,+100.0,over
Spike Count (Window),spiking,8,20,6,+53.8,over
Spike Count (Window),spiking,9,20,14,+17.6,over
Spike Count (Window),spiking,10,20,0,+100.0,over
Spike Count (Window),spiking,11,20,0,+100.0,over
Spike Count (Window),spiking,12,20,4,+66.7,over
Spike Count (Window),spiking,13,20,16,+11.1,over
Spike Count (Window),spiking,14,20,0,+100.0,over
Spike Count (Window),spiking,15,20,0,+100.0,over
Spike Count (Window),spiking,16,20,0,+100.0,over
Spike Count (Window),spiking,17,20,0,+100.0,over
Spike Count (Window),spiking,18,20,0,+100.0,over
Spike Count (Window),spiking,19,20,0,+100.0,over
Spike Count (Window),spiking,20,20,0,+100.0,over
Spike Count (Window),spiking,21,20,0,+100.0,over
Spike Count (Window),spiking,22,20,0,+100.0,over
Spike Count (Window),spiking,23,20,0,+100.0,over
Spike Count (Window),spiking,24,20,0,+100.0,over
Spike Count (Window),spiking,25,20,0,+100.0,over
Spike Count (Window),spiking,26,20,0,+100.0,over
Spike Count (Window),spiking,27,20,0,+100.0,over
Spike Count (Window),spiking,28,20,0,+100.0,over
Spike Count (Window),spiking,29,20,0,+100.0,over
Spike Count (Window),spiking,30,20,0,+100.0,over
Spike Count (Window),spiking,31,20,15,+14.3,over
Spike Count (Window),spiking,32,20,5,+60.0,over
Spike Count (Window),spiking,33,20,0,+100.0,over
Spike Count (Window),spiking,34,20,0,+100.0,over
Spike Count (Window),spiking,35,20,0,+100.0,over
Spike Count (Window),spiking,36,20,0,+100.0,over
Spike Count (Window),spiking,37,20,12,+25.0,over
Spike Count (Window),spiking,38,20,8,+42.9,over
Spike Count (Window),spiking,39,20,0,+100.0,over
Spike Count (Window),spiking,40,20,0,+100.0,over
Spike Count (Window),spiking,41,20,0,+100.0,over
Spike Count (Window),spiking,42,20,0,+100.0,over
Spike Count (Window),spiking,43,20,9,+37.9,over
Spike Count (Window),spiking,44,20,11,+29.0,over
