query_title,timestamp,duration_s,message_count,llm_model,has_window,has_grayscale,resize_width_lbound,resize_width_rbound,resize_height_lbound,resize_height_rbound,brand_accuracy,color_accuracy,plate_accuracy,avg_llm_time_ms,avg_e2e_ms,avg_decode_ms,avg_resize_ms,avg_llm_op_ms,avg_grayscale_ms,pipeline_nodes
Query Car Brand Recognition,2026-04-19T12:05:48.633Z,22.82,0,qwen2.5-vl-3b,false,true,320,640,180,360,,,,,,,,,,Source -> Decode -> Grayscale -> Resize -> Llm -> Sink
Query Car Brand Recognition,2026-04-19T12:06:47.678Z,19.04,0,qwen2.5-vl-3b,false,true,320,640,180,360,,,,,,,,,,Source -> Decode -> Grayscale -> Resize -> Llm -> Sink
Query Car Brand Recognition,2026-04-19T12:12:36.915Z,149.13,367,qwen2.5-vl-3b,false,true,320,640,180,360,0,70.39473684210526,0,258.966485013624,38498.61283378747,,,,,Source -> Decode -> Grayscale -> Resize -> Llm -> Sink
Query Car Brand Recognition,2026-04-19T12:21:20.068Z,103.07,272,qwen2.5-vl-3b,false,true,320,640,180,360,0,70.43478260869566,0,248.34908088235287,21312.721801470587,,,,,Source -> Decode -> Grayscale -> Resize -> Llm -> Sink
Car Brand (Generic),2026-04-19T12:34:06.899Z,626.84,1179,qwen2.5-vl-3b,false,false,,,,,85.85131894484412,0,0,491.2330025445289,250308.10104325693,,,,,Source -> Decode -> Llm -> Sink
Car Brand (Generic),2026-04-19T13:02:01.057Z,1307.13,4237,qwen2.5-vl-3b,false,false,,,,,86.65325285043595,0,0,638.0427802690604,602026.5417866408,,,,,Source -> Decode -> Llm -> Sink
Car Brand (Generic),2026-04-19T13:15:55.971Z,398.03,1993,qwen2.5-vl-3b,false,false,,,,,88.91928864569084,0,0,734.5186753637736,695062.8034771703,,,,,Source -> Decode -> Llm -> Sink
Car Brand (Generic),2026-04-19T13:17:48.440Z,24.39,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Brand (Generic),2026-04-19T13:37:53.461Z,1057.30,3952,qwen2.5-vl-3b,false,false,,,,,86.60844250363901,0,0,1219.5479251012187,446937.18660931167,,,,,Source -> Decode -> Llm -> Sink
Car Brand (Skip 10),2026-04-19T13:39:46.956Z,48.59,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
Car Brand (Skip 10),2026-04-19T13:40:28.491Z,29.82,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
Car Brand (Skip 10),2026-04-19T14:03:47.974Z,1392.72,3953,qwen2.5-vl-3b,false,false,,,,,86.00556070435589,0,0,570.6477542108548,320993.5774070326,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
Car Brand Ford,2026-04-19T15:02:06.323Z,2168.09,3953,qwen2.5-vl-3b,false,false,,,,,4.18168709444845,0,0,520.4033468251952,945275.23762459,,,,,Source -> Decode -> Llm -> Sink
Car Brand Renault,2026-04-19T17:01:58.849Z,1735.31,4711,qwen2.5-vl-3b,false,false,,,,,27.809165097300692,0,0,709.825744003396,615789.4206028448,,,,,Source -> Decode -> Llm -> Sink
Car Brand Toyota,2026-04-19T17:15:09.693Z,774.20,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color (Generic),2026-04-19T17:15:56.194Z,42.04,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color (Generic),2026-04-19T19:06:39.088Z,6657.56,3953,qwen2.5-vl-3b,false,false,,,,,0,60.262257696693275,0,476.21439666076355,763499.154019731,,,,,Source -> Decode -> Llm -> Sink
Car Color Red,2026-04-19T19:08:08.396Z,19.91,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Red,2026-04-19T19:08:45.572Z,23.20,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Red,2026-04-19T19:49:32.752Z,2428.97,3953,qwen2.5-vl-3b,false,false,,,,,0,2.1664766248574687,0,485.04320010119017,825115.6666835316,,,,,Source -> Decode -> Llm -> Sink
Car Color Grey,2026-04-19T21:51:25.491Z,7290.77,3953,qwen2.5-vl-3b,false,false,,,,,0,16.305587229190422,0,628.8571439413101,1053546.4258613717,,,,,Source -> Decode -> Llm -> Sink
Car Color Grey,2026-04-19T21:53:10.174Z,84.00,2,qwen2.5-vl-3b,false,false,,,,,,0,0,856.06,1812.655,,,,,Source -> Decode -> Llm -> Sink
Car Color Grey,2026-04-19T21:57:47.064Z,263.25,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color White,2026-04-19T21:58:05.863Z,8.18,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color White,2026-04-20T03:07:51.011Z,18572.34,3953,qwen2.5-vl-3b,false,false,,,,,0,23.945267958950968,0,478.0166202883897,754903.8026865661,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T07:42:22.789Z,58.85,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T07:43:19.407Z,52.87,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T07:46:42.386Z,62.66,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T07:47:47.010Z,61.44,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T07:52:13.934Z,53.18,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T07:53:25.664Z,65.84,13,qwen2.5-vl-3b,false,false,,,,,0,0,100,654.7238461538461,4791.078461538461,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T07:54:25.139Z,52.90,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T07:55:23.999Z,55.91,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T08:05:10.515Z,516.78,789,qwen2.5-vl-3b,false,false,,,,,0,0,0,574.7635487959434,214831.9628897338,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T08:08:48.409Z,212.44,57,qwen2.5-vl-3b,false,false,,,,,0,0,96.42857142857143,770.9119298245613,21046.846315789473,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T08:30:09.340Z,425.42,709,qwen2.5-vl-3b,false,false,,,0,0,0,926.1647108603665,153419.1981664315,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T08:31:52.510Z,98.03,67,qwen2.5-vl-3b,false,false,,,0,0,65.38461538461539,1212.5435820895523,242975.0837313433,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T08:41:10.565Z,547.08,5,qwen2.5-vl-3b,false,false,,,0,0,0,9937.594000000001,95360.95800000001,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T08:42:00.132Z,43.77,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T08:42:52.246Z,43.70,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T08:45:40.175Z,103.84,88,qwen2.5-vl-3b,false,false,,,0,0,0,494.49386363636347,19369.48568181819,,,,,Source -> Decode -> Llm -> Sink
Car Color Blue,2026-04-20T09:26:17.323Z,2424.61,4245,qwen2.5-vl-3b,false,false,,,0,1.0204081632653061,0,543.1056160188466,901120.1264522978,,,,,Source -> Decode -> Llm -> Sink
License Plates (Generic),2026-04-20T10:02:30.649Z,2169.42,3953,qwen2.5-vl-3b,false,false,,,0,0,60.05665722379604,529.4199316974465,911297.9611965598,,,,,Source -> Decode -> Llm -> Sink
Specific Plate: QRF213,2026-04-20T10:40:12.250Z,2256.38,3953,qwen2.5-vl-3b,false,false,,,0,0,9.63172804532578,549.8712471540601,941543.8351277512,,,,,Source -> Decode -> Llm -> Sink
Color + License Plate (Red),2026-04-20T11:23:40.069Z,2603.83,3503,qwen2.5-vl-3b,false,false,,,0,0,3.4782608695652173,717.4729546103333,1130778.9726177568,,,,,Source -> Decode -> Llm -> Sink
Most Popular Brand,2026-04-20T11:25:06.104Z,81.42,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Aggr -> Sink
Most Popular Color,2026-04-20T11:26:14.845Z,64.63,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Aggr -> Sink
Most Popular Brand and Color,2026-04-20T11:27:19.892Z,57.63,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Aggr -> Sink
Most Popular Color (Ford),2026-04-20T11:28:18.976Z,53.85,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Aggr -> Sink
Most Popular Brand (Red Cars),2026-04-20T11:29:20.750Z,56.39,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Aggr -> Sink
Unique License Plates (Window),2026-04-20T11:30:20.265Z,54.45,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Aggr -> Sink
Repeating License Plates,2026-04-20T11:31:18.542Z,53.36,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Llm -> Window -> Filter -> Aggr -> Sink
Car Brand (Resize),2026-04-20T11:32:15.205Z,51.75,0,qwen2.5-vl-3b,false,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Sink
Car Brand (Skip 10),2026-04-20T11:33:12.030Z,51.90,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
Car Color (Resize),2026-04-20T11:34:08.680Z,51.79,0,qwen2.5-vl-3b,false,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Sink
Car Color (Skip 10),2026-04-20T11:35:01.200Z,49.68,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
License Plates (Resize),2026-04-20T11:35:44.611Z,40.57,0,qwen2.5-vl-3b,false,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Sink
License Plates (Skip 10),2026-04-20T11:36:27.777Z,40.42,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
License Plates (Grayscale),2026-04-20T11:37:12.959Z,40.33,0,qwen2.5-vl-3b,false,true,640,360,,,,,,,,,,Source -> Decode -> Grayscale -> Resize -> Llm -> Sink
Specific Plate (Resize),2026-04-20T11:37:56.149Z,40.44,0,qwen2.5-vl-3b,false,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Sink
Specific Plate (Skip 10),2026-04-20T11:38:39.683Z,40.49,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
Specific Plate (Grayscale),2026-04-20T11:39:23.144Z,40.61,0,qwen2.5-vl-3b,false,true,640,360,,,,,,,,,,Source -> Decode -> Grayscale -> Resize -> Llm -> Sink
Color + Plate (Resize),2026-04-20T11:40:08.378Z,40.43,0,qwen2.5-vl-3b,false,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Sink
Color + Plate (Skip 10),2026-04-20T11:40:51.702Z,40.54,0,qwen2.5-vl-3b,false,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Sink
Most Popular Brand (Resize),2026-04-20T11:41:35.350Z,40.90,0,qwen2.5-vl-3b,true,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Window -> Aggr -> Sink
Most Popular Brand (Skip 10),2026-04-20T11:42:18.420Z,40.33,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Window -> Aggr -> Sink
Most Popular Color (Resize),2026-04-20T11:43:03.651Z,40.33,0,qwen2.5-vl-3b,true,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Window -> Aggr -> Sink
Most Popular Color (Skip 10),2026-04-20T11:43:46.860Z,40.45,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Window -> Aggr -> Sink
Most Popular Brand+Color (Resize),2026-04-20T11:44:30.080Z,40.35,0,qwen2.5-vl-3b,true,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Window -> Aggr -> Sink
Most Popular Brand+Color (Skip 10),2026-04-20T11:45:15.242Z,40.34,0,qwen2.5-vl-3b,true,false,,,,,,,,,,,,Source -> Decode -> Skip Frames -> Llm -> Window -> Aggr -> Sink
Unique Plates (Resize),2026-04-20T11:45:57.675Z,39.70,0,qwen2.5-vl-3b,true,false,640,360,,,,,,,,,,Source -> Decode -> Resize -> Llm -> Window -> Aggr -> Sink
